Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
resimen,resimèn,0.95,1,1.00,1.00,1.00
resep,resèp,0.91,1,1.00,1.00,1.00
rektor,rèktor,0.90,2,1.00,1.00,1.00
rekening,rèkening,0.92,1,1.00,1.00,1.00
reflektor,réflèktor,0.87,2,1.00,1.00,1.00
meusulet,meusulét,0.96,1,1.00,1.00,1.00
rawot,rawôt,0.91,1,1.00,1.00,1.00
raong,raông,0.89,3,1.00,1.00,1.00
ranteng,ranténg,0.94,1,1.00,1.00,1.00
rante,ranté,0.92,1,1.00,1.00,1.00
ransom,ransôm,0.93,1,1.00,1.00,1.00
rangkoi,rangkôi,0.95,1,1.00,1.00,1.00
ranggong,ranggông,0.96,1,1.00,1.00,1.00
rampeng,rampéng,0.94,1,1.00,1.00,1.00
raminet,raminèt,0.95,1,1.00,1.00,1.00
rambong,rambông,0.94,2,1.00,1.00,1.00
rambee,rambèe,0.93,1,1.00,1.00,1.00
raket,rakét,0.91,1,1.00,1.00,1.00
raket,rakét,0.91,1,1.00,1.00,1.00
radio,radiô,0.92,4,1.00,1.00,1.00
racon,racôn,0.91,1,1.00,1.00,1.00
puwet,puwét,0.91,1,1.00,1.00,1.00
puweh,puwèh,0.91,2,1.00,1.00,1.00
puwajeb,puwajéb,0.95,1,1.00,1.00,1.00
putoh-putoh,putôh-putôh,0.92,1,1.00,1.00,1.00
putoh,putôh,0.91,1,1.00,1.00,1.00
puteng,puténg,0.92,2,1.00,1.00,1.00
puteh,putôh,0.91,2,1.00,1.00,1.00
pureh,puréh,0.91,2,1.00,1.00,1.00
puree,purèe,0.91,3,1.00,1.00,1.00
puputoh,puputôh,0.95,1,1.00,1.00,1.00
puputeh,puputôh,0.95,1,1.00,1.00,1.00
pupuleh,pupuléh,0.95,1,1.00,1.00,1.00
pupiyoh,pupiyôh,0.95,1,1.00,1.00,1.00
puphon,puphôn,0.93,1,1.00,1.00,1.00
pupansion,pupansiôn,0.96,1,1.00,1.00,1.00
puntong,puntông,0.94,1,1.00,1.00,1.00
punggong,punggông,0.96,1,1.00,1.00,1.00
punggok,punggôk,0.95,1,1.00,1.00,1.00
pumungken,pumungkén,0.96,1,1.00,1.00,1.00
pumeungkleh,pumeungklèh,0.97,1,1.00,1.00,1.00
pumeulek,pumeulèk,0.96,1,1.00,1.00,1.00
pumeukleh,pumeuklèh,0.96,1,1.00,1.00,1.00
