No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
935,garo,garô,0.80,1,0.30,0.30,1.00
936,gaon,gaôn,0.80,1,0.20,0.20,1.00
937,gamlomlam,gamlômlam,0.90,1,0.10,0.10,1.00
938,gambe,gambé,0.83,1,0.30,0.30,1.00
939,gadeng,gadéng,0.86,1,0.40,0.40,1.00
940,gaboh,gabôh,0.83,1,0.30,0.30,1.00
941,euntong,euntông,0.88,1,1.00,1.00,1.00
942,eungkot,eungkôt,0.88,1,0.90,0.90,1.00
943,duane,duanè,0.83,1,0.10,0.10,1.00
944,dompet,dompèt,0.86,1,0.20,0.20,1.00
945,do'a,dô'a,0.80,1,0.10,0.10,1.00
946,dhoi,dhôi,0.80,1,0.20,0.20,1.00
947,deumpoi,deumpôi,0.88,1,0.30,0.30,1.00
948,desya,dèsya,0.83,1,0.10,0.10,1.00
949,Desember,Desèmbèr,0.80,1,0.10,0.10,1.00
950,denden,déndén,0.75,1,0.10,0.10,1.00
951,dayong,dayông,0.86,1,0.50,0.50,1.00
952,damee,damée,0.83,1,0.10,0.10,1.00
953,cungke,cungké,0.86,1,0.30,0.30,1.00
954,cumbong,cumbông,0.88,1,0.40,0.40,1.00
955,culek,culék,0.83,1,0.20,0.20,1.00
956,donya,dônya,0.83,1,0.10,0.10,1.00
957,disket,diskèt,0.86,1,0.10,0.10,1.00
958,dhot,dhôt,0.80,1,0.20,0.20,1.00
959,deutek,deutèk,0.86,1,0.50,0.50,1.00
960,derek,dèrèk,0.71,2,0.20,0.20,1.00
961,dek,dèk,0.75,1,0.30,0.30,1.00
962,debet,debèt,0.83,1,0.10,0.10,1.00
963,darohaka,darôhaka,0.89,1,0.10,0.10,1.00
964,dalong,dalông,0.86,1,0.40,0.40,1.00
965,cungkeh,cungkèh,0.88,1,0.40,0.40,1.00
966,cumeh,cumèh,0.83,1,0.10,0.10,1.00
967,cuko,cukô,0.80,1,0.30,0.30,1.00
968,cukeh,cukèh,0.83,1,0.10,0.10,1.00
969,cukee,cukèe,0.83,1,0.20,0.20,1.00
970,croh,crôh,0.80,1,0.70,0.70,1.00
971,cre-bre,cré-bré,0.78,1,0.10,0.10,1.00
972,cre,cré,0.75,1,0.10,0.10,1.00
973,cr'ek,cr'èk,0.83,1,0.10,0.10,1.00
974,con,côn,0.75,1,0.10,0.10,1.00
975,ciret,cirét,0.83,1,0.10,0.10,1.00
976,cicem,cicém,0.83,1,0.10,0.10,1.00
977,ceureudek,ceureudék,0.90,1,0.30,0.30,1.00
978,ceumarot,ceumarôt,0.89,1,0.20,0.20,1.00
979,cetak,cètak,0.83,1,0.20,0.20,1.00
980,ceng,céng,0.80,1,0.30,0.30,1.00
981,cedaga,cèdaga,0.86,1,0.10,0.10,1.00
982,catetan,catètan,0.88,1,0.10,0.10,1.00
983,cangkoi,cangkôi,0.88,1,0.70,0.70,1.00
984,canden,candén,0.86,1,0.10,0.10,1.00
985,calam-malom,calam-malôm,0.92,1,0.10,0.10,1.00
986,cagee,cagée,0.83,1,0.10,0.10,1.00
987,cae,caé,0.75,1,0.10,0.10,1.00
988,caboi,cabôi,0.83,1,0.20,0.20,1.00
989,coh,côh,0.75,2,0.30,0.30,1.00
990,cilet,cilèt,0.83,1,0.10,0.10,1.00
991,chen,chèn,0.80,1,0.10,0.10,1.00
992,ceureumen,ceureumèn,0.90,1,1.00,1.00,1.00
993,ceureulong,ceureulông,0.91,1,1.00,1.00,1.00
994,ceurapee,ceurapèe,0.89,1,0.10,0.10,1.00
995,ceunulek,ceunulék,0.89,1,0.30,0.30,1.00
996,ceundrong,ceundrông,0.90,1,0.40,0.40,1.00
997,ceulop,ceulôp,0.86,1,0.10,0.10,1.00
998,ceukong,ceukông,0.88,1,1.00,1.00,1.00
999,ceuken,ceukén,0.86,1,0.30,0.30,1.00
1000,cet,cèt,0.75,1,0.20,0.20,1.00
,MAP Results:,,,,,,0.99
,MAP Percentage Accuracy:,,,,,,98.8%
