Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
rincong,ginsèng,0.62,9,0.00,0.00,0.00
rhot,phét,0.60,10,0.00,0.00,0.00
rhoi,dhôi,0.60,7,0.00,0.00,0.00
rhem,khém,0.60,7,0.00,0.00,0.00
reutek,deutèk,0.71,7,0.00,0.00,0.00
reuruntoh,reuruntôh,0.90,1,1.00,0.10,0.10
reuoh,reubôh,0.71,3,0.00,0.00,0.00
reuncong,geunténg,0.67,9,0.00,0.00,0.00
reudok,reuték,0.71,2,0.00,0.00,0.00
reubot,reubôh,0.71,2,0.00,0.00,0.00
reubong,leubéng,0.75,4,0.00,0.00,0.00
reuboh,leubèh,0.71,7,0.00,0.00,0.00
resimen,seulimèng,0.50,8,0.00,0.00,0.00
resep,resimèn,0.50,10,0.00,0.00,0.00
rektor,èlèktron,0.50,7,0.00,0.00,0.00
rekening,reuncông,0.56,4,0.00,0.00,0.00
reflektor,proyèktor,0.50,4,0.00,0.00,0.00
meusulet,meubulèe,0.67,9,0.00,0.00,0.00
rawot,lawét,0.67,5,0.00,0.00,0.00
raong,rambông,0.62,7,0.00,0.00,0.00
ranteng,ranggông,0.67,10,0.00,0.00,0.00
rante,ranténg,0.62,5,0.00,0.00,0.00
ransom,gandôm,0.57,3,0.00,0.00,0.00
rangkoi,tangkéh,0.62,10,0.00,0.00,0.00
ranggong,tinggông,0.67,10,0.00,0.00,0.00
rampeng,lambông,0.62,9,0.00,0.00,0.00
raminet,minèt,0.57,7,0.00,0.00,0.00
rambong,ranténg,0.62,10,0.00,0.00,0.00
rambee,tambô,0.50,10,0.00,0.00,0.00
raket,pakèt,0.67,8,0.00,0.00,0.00
raket,pakèt,0.67,8,0.00,0.00,0.00
radio,radiô,0.83,1,0.00,0.00,0.00
racon,racôn,0.83,1,0.00,0.00,0.00
puwet,pulôt,0.67,4,0.00,0.00,0.00
puweh,puléh,0.67,7,0.00,0.00,0.00
puwajeb,pumalèe,0.50,9,0.00,0.00,0.00
putoh-putoh,pubeureutôh,0.50,8,0.00,0.00,0.00
putoh,puléh,0.67,8,0.00,0.00,0.00
puteng,peunténg,0.67,10,0.00,0.00,0.00
puteh,puputôh,0.62,10,0.00,0.00,0.00
pureh,peutrôh,0.62,10,0.00,0.00,0.00
puree,urèe,0.60,6,0.00,0.00,0.00
puputoh,putôh,0.57,10,0.00,0.00,0.00
puputeh,putôh-putôh,0.62,7,0.00,0.00,0.00
pupuleh,pumeuklèh,0.60,6,0.00,0.00,0.00
pupiyoh,pupuléh,0.62,6,0.00,0.00,0.00
puphon,tutôong,0.50,10,0.00,0.00,0.00
pupansion,pumasén,0.56,8,1.00,0.10,0.10
puntong,puténg,0.71,9,0.00,0.00,0.00
punggong,ranggông,0.67,9,0.00,0.00,0.00
punggok,unggôi,0.57,8,0.00,0.00,0.00
pumungken,seunungkèe,0.55,8,1.00,0.10,0.10
pumeungkleh,peuniléh,0.55,10,1.00,0.10,0.10
pumeulek,pumeuklèh,0.70,2,0.00,0.00,0.00
pumeukleh,pupuléh,0.56,10,1.00,0.10,0.10
pumerdeka,meurdèhka,0.50,8,1.00,0.10,0.10
pumasen,masén,0.57,10,0.00,0.00,0.00
pumameh,peujampôh,0.60,4,0.00,0.00,0.00
pumalee,pumamèh,0.62,4,0.00,0.00,0.00
pulot,puléh,0.67,8,0.00,0.00,0.00
puleh,pulôt,0.67,9,0.00,0.00,0.00
pudiom,pudiôm,0.86,1,0.00,0.00,0.00
pucok,pacôk,0.67,6,0.00,0.00,0.00
pubusot,pubeusôt,0.78,2,0.00,0.00,0.00
pubeutoi,pumeulèk,0.56,10,0.00,0.00,0.00
pubeusot,pubeutôi,0.67,4,0.00,0.00,0.00
pubeureutoh,peureuséh,0.64,10,1.00,0.10,0.10
pubeungeh,mubungkôh,0.60,9,1.00,0.10,0.10
pubangket,mubungkôh,0.60,10,1.00,0.10,0.10
pubandeng,peulindông,0.64,10,1.00,0.10,0.10
proyektor,prospèktus,0.55,7,1.00,0.10,0.10
proteh,puputôh,0.50,10,0.00,0.00,0.00
