No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Average Precision
317,pumasen,pumasén,0.95,1,1.00
318,pumameh,pumamèh,0.95,1,1.00
319,pumalee,pumalèe,0.95,1,1.00
320,pulot,pulôt,0.91,2,1.00
321,puleh,puléh,0.91,3,1.00
322,pudiom,pudiôm,0.93,1,1.00
323,pucok,pucôk,0.91,1,1.00
324,pubusot,pubusôt,0.95,1,1.00
325,pubeutoi,pubeutôi,0.96,1,1.00
326,pubeusot,pubeusôt,0.96,1,1.00
327,pubeureutoh,pubeureutôh,0.97,1,1.00
328,pubeungeh,pubeungèh,0.96,1,1.00
329,pubangket,pubangkét,0.96,1,1.00
330,pubandeng,pubandéng,0.96,1,1.00
331,proyektor,proyèktor,0.96,1,1.00
332,proteh,protèh,0.93,1,1.00
333,prospektus,prospèktus,0.97,1,1.00
334,presidium,prèsidium,0.94,1,1.00
335,presiden,prèsidèn,0.87,1,0.00
336,preh,prèh,0.87,1,0.00
337,predikat,prèdikat,0.93,1,1.00
338,pre,pré,0.82,4,0.00
339,praho,prahô,0.92,1,1.00
340,potokopi,pôtôkopi,0.85,2,0.00
341,pot-pot,tèt-tot,0.90,1,1.00
342,porselen,porselén,0.96,1,1.00
343,politeknik,politèknik,0.97,1,1.00
344,polem,polém,0.91,1,1.00
345,plok,plôk,0.87,2,1.00
346,planet,planèt,0.93,1,1.00
347,piyoh,piyôh,0.91,1,1.00
348,pipet,pipèt,0.91,4,1.00
349,pinto,pintô,0.92,1,1.00
350,pilem,pilém,0.91,1,1.00
351,pileh,piléh,0.91,1,1.00
352,pikeran,pikéran,0.93,1,1.00
353,pike,piké,0.88,1,0.00
354,picet,picét,0.91,1,1.00
355,phon-phon,phôn-phôn,0.88,1,0.00
356,phon,phôn,0.87,2,1.00
357,phet,phét,0.87,2,1.00
358,peuunyet,peuunyèt,0.96,1,1.00
359,peutundok,peutundôk,0.96,3,1.00
360,peutumpok-tumpok,peutumpôk-tumpôk,0.96,1,1.00
